# BCs for ATLAS9 + DUSTY99 + blackbody spectra:
#  n     Teff  logg        C        M       T1       T2        B        V        R        I
 275     6000  5.00   -0.667   -0.216    0.265    0.602   -0.618   -0.059    0.280    0.592
 276     6250  0.50   -0.492   -0.036    0.307    0.567   -0.309    0.073    0.317    0.560
 277     6250  1.00   -0.507   -0.055    0.303    0.569   -0.338    0.060    0.314    0.561
 278     6250  1.50   -0.512   -0.077    0.295    0.568   -0.365    0.043    0.307    0.560
 279     6250  2.00   -0.516   -0.099    0.286    0.565   -0.392    0.026    0.297    0.557
 280     6250  2.50   -0.519   -0.121    0.275    0.562   -0.421    0.008    0.287    0.553
 281     6250  3.00   -0.523   -0.142    0.264    0.557   -0.450   -0.010    0.277    0.548
 282     6250  3.50   -0.528   -0.162    0.255    0.554   -0.478   -0.026    0.267    0.544
 283     6250  4.00   -0.533   -0.177    0.248    0.551   -0.504   -0.038    0.260    0.542
 284     6250  4.50   -0.539   -0.187    0.245    0.552   -0.525   -0.046    0.257    0.542
 285     6250  5.00   -0.548   -0.192    0.246    0.556   -0.542   -0.049    0.259    0.546
 286     6500  0.50   -0.343    0.009    0.283    0.508   -0.190    0.093    0.292    0.501
 287     6500  1.00   -0.375   -0.009    0.286    0.515   -0.228    0.084    0.295    0.508
 288     6500  1.50   -0.398   -0.030    0.284    0.518   -0.264    0.070    0.293    0.511
 289     6500  2.00   -0.412   -0.053    0.276    0.519   -0.298    0.052    0.286    0.511
 290     6500  2.50   -0.424   -0.079    0.266    0.517   -0.332    0.033    0.276    0.509
 291     6500  3.00   -0.433   -0.104    0.254    0.513   -0.367    0.012    0.265    0.505
 292     6500  3.50   -0.442   -0.128    0.243    0.510   -0.401   -0.007    0.254    0.501
 293     6500  4.00   -0.448   -0.149    0.233    0.506   -0.432   -0.024    0.244    0.497
 294     6500  4.50   -0.452   -0.165    0.226    0.505   -0.459   -0.037    0.237    0.496
 295     6500  5.00   -0.457   -0.175    0.224    0.507   -0.481   -0.045    0.235    0.498
 296     6750  0.50   -0.227    0.045    0.260    0.449   -0.100    0.108    0.267    0.444
 297     6750  1.00   -0.255    0.028    0.260    0.455   -0.128    0.097    0.267    0.449
 298     6750  1.50   -0.292    0.009    0.264    0.463   -0.171    0.088    0.271    0.457
